"source","target"
"Uniwersytet Jagielloński","Cracovia Błonia"
"Cracovia Błonia","Instytut Reumatologii"
"Instytut Reumatologii","Przegon"
"Przegon","Słonecznikowa"
"Słonecznikowa","Tondosa"
"Tondosa","Strzelnica"
"Strzelnica","Sielanka"
"Sielanka","Park Decjusza"
"Park Decjusza","Panieńskich Skał"
"Panieńskich Skał","Królowej Jadwigi"
"Królowej Jadwigi","Chełm"
"Chełm","Raczkiewicza"
"Raczkiewicza","Leśmiana"
"Leśmiana","Olszanica Kapliczka"
"Olszanica Kapliczka","Olszanica - Aleja Przyjaźni"

"Os.Piastów","Piasta Kołodzieja"
"Piasta Kołodzieja","Popielidów"
"Popielidów","Kruszwicka"
"Kruszwicka","Kleeberga"
"Kleeberga","Dunikowskiego"
"Dunikowskiego","Rondo Hipokratesa"
"Rondo Hipokratesa","Os.Jagiellońskie"
"Os.Jagiellońskie","Arka"
"Arka","Teatr Ludowy"
"Teatr Ludowy","Żeromskiego"
"Żeromskiego","Aleja Róż"
"Aleja Róż","Struga"
"Struga","Bulwarowa"
"Bulwarowa","Os.Willowe"
"Os.Willowe","Klasztorna"
"Klasztorna","Os.Wandy"
"Os.Wandy","Os.Na Skarpie"
"Os.Na Skarpie","Szpital Żeromskiego"
"Szpital Żeromskiego","Sieroszewskiego"
"Sieroszewskiego","Klasztor Cystersów"
"Klasztor Cystersów","Stare Wiślisko"
"Stare Wiślisko","Lasek Mogilski"
"Lasek Mogilski","Lesisko - Os.Piastów"

"Prądnik Biały","Pachońskiego"
"Pachońskiego","Prądnik Biały Zachód"
"Prądnik Biały Zachód","Wyki"
"Wyki","Batalionu Skała AK"
"Batalionu Skała AK","Łokietka"
"Łokietka","Wybickiego"
"Wybickiego","Bratysławska"
"Bratysławska","Nowy Kleparz"
"Nowy Kleparz","Politechnika"
"Politechnika","Dworzec Główny Zachód"
"Dworzec Główny Zachód","Dworzec Główny"
"Dworzec Główny","Dworzec Główny Zachód - Prądnik Biały"

"Łagiewniki","Łagiewniki"
"Łagiewniki","Sucha"
"Sucha","Fredry"
"Fredry","Turowicza"
"Turowicza","Przykopy"
"Przykopy","Kurdwanów"
"Kurdwanów","Bujaka"
"Bujaka","Halszki"
"Halszki","Myślenicka"
"Myślenicka","Swoszowice Autostrada"
"Swoszowice Autostrada","Swoszowice Osiedle"
"Swoszowice Osiedle","Swoszowice Pawilon"
"Swoszowice Pawilon","Swoszowice Sklep"
"Swoszowice Sklep","Swoszowice Poczta - Łagiewniki"

"Powstańców Wielkopolskich","Powstańców Wielkopolskich"
"Powstańców Wielkopolskich","Kuklińskiego"
"Kuklińskiego","Stoczniowców"
"Stoczniowców","Saska"
"Saska","Szczecińska"
"Szczecińska","Rzebika"
"Rzebika","Mały Płaszów"
"Mały Płaszów","Surzyckiego"
"Surzyckiego","Płk. Dąbka"
"Płk. Dąbka","Zajezdnia Płaszów"
"Zajezdnia Płaszów","Biskupińska"
"Biskupińska","Albatrosów"
"Albatrosów","Jeżowa"
"Jeżowa","Rybitwy Sklep"
"Rybitwy Sklep","Rybitwy Dom Kultury"
"Rybitwy Dom Kultury","Rybitwy Rozjazd"
"Rybitwy Rozjazd","Szparagowa"
"Szparagowa","Ks.Targosza"
"Ks.Targosza","Przewóz"
"Przewóz","Wrobela"
"Wrobela","Podwierzbie - Powstańców Wielkopolskich"
"Podwierzbie - Powstańców Wielkopolskich","Podwierzbie - Powstańców Wielkopolskich"

"Os.Piastów","Piasta Kołodzieja"
"Piasta Kołodzieja","Popielidów"
"Popielidów","Kruszwicka"
"Kruszwicka","Kleeberga"
"Kleeberga","Rondo Piastowskie"
"Rondo Piastowskie","Łęczycka"
"Łęczycka","Cedyńska"
"Cedyńska","Wiślicka"
"Wiślicka","Bora-Komorowskiego"
"Bora-Komorowskiego","Miechowity"
"Miechowity","Bosaków"
"Bosaków","Brogi"
"Brogi","Wileńska"
"Wileńska","Uniwersytet Rolniczy"
"Uniwersytet Rolniczy","Biskupa Prandoty"
"Biskupa Prandoty","Cmentarz Rakowicki Zachód"
"Cmentarz Rakowicki Zachód","Nowy Kleparz"
"Nowy Kleparz","Grottgera"
"Grottgera","Plac Inwalidów"
"Plac Inwalidów","Czarnowiejska"
"Czarnowiejska","Kawiory"
"Kawiory","Miasteczko Studenckie AGH"
"Miasteczko Studenckie AGH","Cichy Kącik - Os.Piastów"

"Pleszów","Zakład Przeróbki"
"Zakład Przeróbki","Szymańskiego"
"Szymańskiego","Wyciąże"
"Wyciąże","Wyciąże Zachód"
"Wyciąże Zachód","Wyciąże Wiadukt"
"Wyciąże Wiadukt","Cło"
"Cło","Brzeska"
"Brzeska","Zakępie"
"Zakępie","Wolica"
"Wolica","Wolica Las"
"Wolica Las","Wolica Most - Pleszów"

"Os.Podwawelskie","Centrum Kongresowe"
"Centrum Kongresowe","Centrum Kongresowe"
"Centrum Kongresowe","Rynek Dębnicki"
"Rynek Dębnicki","Praska"
"Praska","Zielińskiego"
"Zielińskiego","Os.Robotnicze"
"Os.Robotnicze","Park Skały Twardowskiego"
"Park Skały Twardowskiego","Pychowice"
"Pychowice","Rodzinna"
"Rodzinna","Górka Pychowicka"
"Górka Pychowicka","Fort Bodzów"
"Fort Bodzów","Kostrze Szkoła"
"Kostrze Szkoła","Kostrze OSP"
"Kostrze OSP","Ślaskiego"
"Ślaskiego","Dąbrowa"
"Dąbrowa","Kostrze"
"Kostrze","Bagienna"
"Bagienna","Podgórki Tynieckie - Os.Podwawelskie"

"Rżąka","Jerzmanowskiego"
"Jerzmanowskiego","Prokocim Szpital"
"Prokocim Szpital","Teligi"
"Teligi","Nowy Prokocim"
"Nowy Prokocim","Ćwiklińskiej"
"Ćwiklińskiej","Nowy Bieżanów"
"Nowy Bieżanów","Barbary"
"Barbary","Bieżanów Pomnik"
"Bieżanów Pomnik","Agatowa"
"Agatowa","Złocień"
"Złocień","Agatowa"
"Agatowa","Bieżanów Bazy"
"Bieżanów Bazy","Półłanki"
"Półłanki","Bacutil"
"Bacutil","Garbarnia"
"Garbarnia","Szparagowa"
"Szparagowa","Lasek Mogilski"
"Lasek Mogilski","Stare Wiślisko"
"Stare Wiślisko","Klasztor Cystersów"
"Klasztor Cystersów","Klasztorna"
"Klasztorna","Os.Na Skarpie"
"Os.Na Skarpie","Plac Centralny im. R.Reagana"
"Plac Centralny im. R.Reagana","Aleja Róż"
"Aleja Róż","Aleja Przyjaźni - Rżąka"
"Aleja Przyjaźni - Rżąka","Rżąka  - Kombinat"
"Rżąka  - Kombinat","Kombinat - Rżąka"

"Piaski Nowe","Nowosądecka"
"Nowosądecka","Wola Duchacka"
"Wola Duchacka","Zajezdnia Wola Duchacka"
"Zajezdnia Wola Duchacka","Puszkarska"
"Puszkarska","Kamieńskiego Wiadukt"
"Kamieńskiego Wiadukt","Rondo Matecznego"
"Rondo Matecznego","Ludwinów"
"Ludwinów","Centrum Kongresowe"
"Centrum Kongresowe","Konopnickiej"
"Konopnickiej","Jubilat"
"Jubilat","Cracovia"
"Cracovia","AGH"
"AGH","Plac Inwalidów"
"Plac Inwalidów","Grottgera"
"Grottgera","Nowy Kleparz"
"Nowy Kleparz","Bratysławska"
"Bratysławska","Szpital Narutowicza"
"Szpital Narutowicza","Lekarska"
"Lekarska","Zdrowa"
"Zdrowa","Mackiewicza"
"Mackiewicza","Clepardia"
"Clepardia","Siewna Wiadukt"
"Siewna Wiadukt","Bociana"
"Bociana","Górka Narodowa - Piaski Nowe"

"Łagiewniki","Łagiewniki"
"Łagiewniki","Borsucza"
"Borsucza","Lipińskiego"
"Lipińskiego","Grota-Roweckiego"
"Grota-Roweckiego","Rostworowskiego"
"Rostworowskiego","Zachodnia"
"Zachodnia","Torfowa"
"Torfowa","Lubostroń"
"Lubostroń","Skośna"
"Skośna","Kobierzyn"
"Kobierzyn","Babińskiego"
"Babińskiego","Skotniki"
"Skotniki","Brücknera"
"Brücknera","Skotniki Szkoła"
"Skotniki Szkoła","Brücknera"
"Brücknera","Skotniki"
"Skotniki","Baczyńskiego"
"Baczyńskiego","Wrony"
"Wrony","Warchałowskiego"
"Warchałowskiego","Tretówka"
"Tretówka","Sidzina - Łagiewniki"

"Krowodrza Górka","Krowoderskich Zuchów"
"Krowoderskich Zuchów","Batalionu Skała AK"
"Batalionu Skała AK","Makowskiego"
"Makowskiego","Różyckiego"
"Różyckiego","Azory"
"Azory","Gnieźnieńska"
"Gnieźnieńska","Czerwieńskiego"
"Czerwieńskiego","Fiszera"
"Fiszera","Radzikowskiego Osiedle - Krowodrza Górka"

"Zajezdnia Wola Duchacka","Sławka"
"Sławka","Kamieńskiego"
"Kamieńskiego","Bonarka"
"Bonarka","Kamieńskiego Wiadukt"
"Kamieńskiego Wiadukt","Rondo Matecznego"
"Rondo Matecznego","Ludwinów"
"Ludwinów","Centrum Kongresowe"
"Centrum Kongresowe","Konopnickiej"
"Konopnickiej","Jubilat"
"Jubilat","Cracovia"
"Cracovia","AGH"
"AGH","Plac Inwalidów"
"Plac Inwalidów","Grottgera"
"Grottgera","Nowy Kleparz"
"Nowy Kleparz","Cmentarz Rakowicki Zachód"
"Cmentarz Rakowicki Zachód","Biskupa Prandoty"
"Biskupa Prandoty","Uniwersytet Rolniczy"
"Uniwersytet Rolniczy","Opolska Estakada"
"Opolska Estakada","Aleja 29 Listopada"
"Aleja 29 Listopada","Kuźnicy Kołłątajowskiej"
"Kuźnicy Kołłątajowskiej","Banacha"
"Banacha","Górka Narodowa Wschód - Zajezdnia Wola Duchacka"

"Pleszów","Zakład Przeróbki"
"Zakład Przeróbki","Szymańskiego"
"Szymańskiego","Wyciąże"
"Wyciąże","Janówka"
"Janówka","Błonia Kościelnickie"
"Błonia Kościelnickie","Kościelniki"
"Kościelniki","Zabłocie Kościelnickie"
"Zabłocie Kościelnickie","Resztówka"
"Resztówka","Ostafina"
"Ostafina","Hektary"
"Hektary","Wróżenice Górka"
"Wróżenice Górka","Wróżenice - Pleszów"

"Aleja Przyjaźni","Os.Zgody"
"Os.Zgody","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","DH Wanda"
"DH Wanda","Os.Na Lotnisku"
"Os.Na Lotnisku","Os.Strusia"
"Os.Strusia","Wiślicka"
"Wiślicka","Bora-Komorowskiego"
"Bora-Komorowskiego","Olsza II"
"Olsza II","Lublańska"
"Lublańska","Opolska Estakada"
"Opolska Estakada","Imbramowska"
"Imbramowska","Mackiewicza"
"Mackiewicza","Pleszowska"
"Pleszowska","Opolska Kładka"
"Opolska Kładka","Opolska"
"Opolska","Conrada"
"Conrada","Rondo Ofiar Katynia"
"Rondo Ofiar Katynia","Bronowice Wiadukt"
"Bronowice Wiadukt","Bronowice Małe"
"Bronowice Małe","Giełda Balicka P+R"
"Giełda Balicka P+R","Lindego"
"Lindego","Bronowice Małe - Aleja Przyjaźni"

"Nowy Bieżanów Południe","Nowy Prokocim"
"Nowy Prokocim","Teligi"
"Teligi","Prokocim Szpital"
"Prokocim Szpital","Wlotowa"
"Wlotowa","Bieżanowska"
"Bieżanowska","Malborska"
"Malborska","Makowa"
"Makowa","Kamieńskiego"
"Kamieńskiego","Bonarka"
"Bonarka","Kamieńskiego Wiadukt"
"Kamieńskiego Wiadukt","Rondo Matecznego"
"Rondo Matecznego","Ludwinów"
"Ludwinów","Centrum Kongresowe"
"Centrum Kongresowe","Konopnickiej"
"Konopnickiej","Jubilat"
"Jubilat","Cracovia"
"Cracovia","Czarnowiejska"
"Czarnowiejska","Kawiory"
"Kawiory","Miasteczko Studenckie AGH"
"Miasteczko Studenckie AGH","Przybyszewskiego"
"Przybyszewskiego","Armii Krajowej"
"Armii Krajowej","Zarzecze"
"Zarzecze","Bronowice Wiadukt"
"Bronowice Wiadukt","Rondo Ofiar Katynia"
"Rondo Ofiar Katynia","Conrada"
"Conrada","Azory - Nowy Bieżanów Południe"

"Os.Kurdwanów","Stojałowskiego"
"Stojałowskiego","Halszki"
"Halszki","Bujaka"
"Bujaka","Kurdwanów"
"Kurdwanów","Beskidzka"
"Beskidzka","Wola Duchacka"
"Wola Duchacka","Zajezdnia Wola Duchacka"
"Zajezdnia Wola Duchacka","Sławka"
"Sławka","Kamieńskiego"
"Kamieńskiego","Bonarka"
"Bonarka","Kamieńskiego Wiadukt"
"Kamieńskiego Wiadukt","Powstańców Wielkopolskich"
"Powstańców Wielkopolskich","Kuklińskiego"
"Kuklińskiego","Stoczniowców"
"Stoczniowców","Koszykarska"
"Koszykarska","Elektrociepłownia Kraków"
"Elektrociepłownia Kraków","M1 Nowohucka"
"M1 Nowohucka","Nowohucka"
"Nowohucka","Centralna"
"Centralna","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Os.Kolorowe"
"Os.Kolorowe","Plac Centralny im. R.Reagana"
"Plac Centralny im. R.Reagana","Os.Na Skarpie"
"Os.Na Skarpie","Klasztorna"
"Klasztorna","Bulwarowa Ogródki Działkowe"
"Bulwarowa Ogródki Działkowe","Bulwarowa"
"Bulwarowa","Kombinat - Os.Kurdwanów"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Judyma"
"Judyma","Kąpielowa"
"Kąpielowa","Opatkowice Wiadukt"
"Opatkowice Wiadukt","Poronińska"
"Poronińska","Opatkowice Zadworze"
"Opatkowice Zadworze","Smoleńskiego"
"Smoleńskiego","Opatkowice"
"Opatkowice","Podgaje"
"Podgaje","Taklińskiego"
"Taklińskiego","Sidzina Olszyny"
"Sidzina Olszyny","Żyzna"
"Żyzna","Petrażyckiego"
"Petrażyckiego","Nałkowskiej"
"Nałkowskiej","Sidzina - Borek Fałęcki"

"Mistrzejowice","Miśnieńska"
"Miśnieńska","Łęczycka"
"Łęczycka","Wiślicka"
"Wiślicka","Os.Dywizjonu 303"
"Os.Dywizjonu 303","Stella-Sawickiego"
"Stella-Sawickiego","Nowohucka"
"Nowohucka","M1 Nowohucka"
"M1 Nowohucka","Elektrociepłownia Kraków"
"Elektrociepłownia Kraków","Koszykarska"
"Koszykarska","Stoczniowców"
"Stoczniowców","Kuklińskiego"
"Kuklińskiego","Powstańców Wielkopolskich"
"Powstańców Wielkopolskich","Tischnera"
"Tischnera","Łagiewniki"
"Łagiewniki","Borsucza"
"Borsucza","Lipińskiego"
"Lipińskiego","Grota-Roweckiego"
"Grota-Roweckiego","Rostworowskiego"
"Rostworowskiego","Zachodnia"
"Zachodnia","Torfowa"
"Torfowa","Lubostroń"
"Lubostroń","Skośna"
"Skośna","Komuny Paryskiej"
"Komuny Paryskiej","Zawiła"
"Zawiła","Borkowska"
"Borkowska","Kliny Zacisze"
"Kliny Zacisze","Pod Fortem - Mistrzejowice"

"Os.Kurdwanów","Stojałowskiego"
"Stojałowskiego","Halszki"
"Halszki","Bujaka"
"Bujaka","Kurdwanów"
"Kurdwanów","Beskidzka"
"Beskidzka","Wola Duchacka"
"Wola Duchacka","Zajezdnia Wola Duchacka"
"Zajezdnia Wola Duchacka","Sławka"
"Sławka","Kamieńskiego"
"Kamieńskiego","Bonarka"
"Bonarka","Kamieńskiego Wiadukt"
"Kamieńskiego Wiadukt","Rondo Matecznego"
"Rondo Matecznego","Ludwinów"
"Ludwinów","Centrum Kongresowe"
"Centrum Kongresowe","Konopnickiej"
"Konopnickiej","Jubilat"
"Jubilat","Cracovia"
"Cracovia","AGH"
"AGH","Plac Inwalidów"
"Plac Inwalidów","Grottgera"
"Grottgera","Nowy Kleparz"
"Nowy Kleparz","Politechnika"
"Politechnika","Dworzec Główny Zachód - Os.Kurdwanów"

"Pleszów","Koksochemia"
"Koksochemia","Nadbrzezie"
"Nadbrzezie","Suchy Jar"
"Suchy Jar","Gwarecka"
"Gwarecka","Karowa"
"Karowa","Dymarek"
"Dymarek","Oczyszczalnia Ścieków Kujawy"
"Oczyszczalnia Ścieków Kujawy","Kujawy - Pleszów"

"Os.Na Stoku","Architektów"
"Architektów","Leszka Białego"
"Leszka Białego","Jana Kazimierza"
"Jana Kazimierza","Jagiełły"
"Jagiełły","Petöfiego"
"Petöfiego","Nowolipki"
"Nowolipki","Łowińskiego"
"Łowińskiego","Os.Mistrzejowice Nowe"
"Os.Mistrzejowice Nowe","Kleeberga"
"Kleeberga","Rondo Piastowskie"
"Rondo Piastowskie","Os.Złotego Wieku"
"Os.Złotego Wieku","Miśnieńska"
"Miśnieńska","Mistrzejowice"
"Mistrzejowice","Bohomolca"
"Bohomolca","Marchołta"
"Marchołta","Os.Oświecenia"
"Os.Oświecenia","Park Wodny"
"Park Wodny","Rondo Barei"
"Rondo Barei","Rondo Barei"
"Rondo Barei","Miechowity"
"Miechowity","Rondo Młyńskie"
"Rondo Młyńskie","Pilotów"
"Pilotów","Narzymskiego"
"Narzymskiego","Brodowicza"
"Brodowicza","Rondo Mogilskie"
"Rondo Mogilskie","Uniwersytet Ekonomiczny"
"Uniwersytet Ekonomiczny","Dworzec Główny Wschód - Os.Na Stoku"

"Złocień","Agatowa"
"Agatowa","Bieżanów Pomnik"
"Bieżanów Pomnik","Barbary"
"Barbary","Nowy Bieżanów"
"Nowy Bieżanów","Ćwiklińskiej"
"Ćwiklińskiej","Nowy Prokocim"
"Nowy Prokocim","Teligi"
"Teligi","Prokocim Szpital"
"Prokocim Szpital","Instytut Pediatrii"
"Instytut Pediatrii","Dom Spokojnej Starości - Złocień"
"Dom Spokojnej Starości - Złocień","Złocień - Wydział Farmaceutyczny UJ"
"Złocień - Wydział Farmaceutyczny UJ","Wydział Farmaceutyczny UJ - Złocień"

"Os.Kurdwanów","Stojałowskiego"
"Stojałowskiego","Halszki"
"Halszki","Bujaka"
"Bujaka","Kurdwanów"
"Kurdwanów","Witosa"
"Witosa","Nowosądecka"
"Nowosądecka","Wola Duchacka"
"Wola Duchacka","Malborska Szkoła"
"Malborska Szkoła","Sułkowskiego"
"Sułkowskiego","Malborska"
"Malborska","Makowa"
"Makowa","Kamieńskiego"
"Kamieńskiego","Bonarka"
"Bonarka","Kamieńskiego Wiadukt"
"Kamieńskiego Wiadukt","Rondo Matecznego"
"Rondo Matecznego","Ludwinów"
"Ludwinów","Centrum Kongresowe"
"Centrum Kongresowe","Stradom"
"Stradom","Starowiślna"
"Starowiślna","Hala Targowa"
"Hala Targowa","Rondo Grzegórzeckie"
"Rondo Grzegórzeckie","Rondo Mogilskie"
"Rondo Mogilskie","Cmentarz Rakowicki"
"Cmentarz Rakowicki","Narzymskiego"
"Narzymskiego","Pilotów"
"Pilotów","Rondo Młyńskie"
"Rondo Młyńskie","Miechowity"
"Miechowity","Rondo Barei"
"Rondo Barei","Olszecka"
"Olszecka","Majora"
"Majora","Sudolska"
"Sudolska","Powstańców"
"Powstańców","Powstańców Garaże"
"Powstańców Garaże","Prądnik Czerwony"
"Prądnik Czerwony","Prądnik Czerwony - Os.Kurdwanów"

"Na Załęczu","Habina"
"Habina","Odmętowa"
"Odmętowa","Lasek Łęgowski"
"Lasek Łęgowski","Lesisko"
"Lesisko","Lasek Mogilski"
"Lasek Mogilski","Stare Wiślisko"
"Stare Wiślisko","Klasztor Cystersów"
"Klasztor Cystersów","Sieroszewskiego"
"Sieroszewskiego","Szpital Żeromskiego"
"Szpital Żeromskiego","Os.Na Skarpie"
"Os.Na Skarpie","Klasztorna"
"Klasztorna","Bulwarowa Ogródki Działkowe"
"Bulwarowa Ogródki Działkowe","Os.Willowe"
"Os.Willowe","Struga"
"Struga","Aleja Róż"
"Aleja Róż","Żeromskiego"
"Żeromskiego","Teatr Ludowy"
"Teatr Ludowy","Arka"
"Arka","Os.Jagiellońskie"
"Os.Jagiellońskie","Rondo Hipokratesa"
"Rondo Hipokratesa","Dunikowskiego"
"Dunikowskiego","Kleeberga"
"Kleeberga","Kruszwicka"
"Kruszwicka","Popielidów"
"Popielidów","Piasta Kołodzieja"
"Piasta Kołodzieja","Os.Piastów"
"Os.Piastów","Urząd Skarbowy Nowa Huta"
"Urząd Skarbowy Nowa Huta","Batowice PKP"
"Batowice PKP","Batowice"
"Batowice","Cmentarz Batowice Wschód"
"Cmentarz Batowice Wschód","Cmentarz Batowice"
"Cmentarz Batowice","Prądnik Czerwony"
"Prądnik Czerwony","Prądnik Czerwony - Na Załęczu"

"Czerwone Maki","Czerwone Maki"
"Czerwone Maki","Chmieleniec"
"Chmieleniec","Kampus UJ"
"Kampus UJ","Ruczaj"
"Ruczaj","Norymberska"
"Norymberska","Rostworowskiego"
"Rostworowskiego","Grota-Roweckiego"
"Grota-Roweckiego","Lipińskiego"
"Lipińskiego","Kobierzyńska"
"Kobierzyńska","Słomiana"
"Słomiana","Kapelanka"
"Kapelanka","Szwedzka"
"Szwedzka","Centrum Kongresowe"
"Centrum Kongresowe","Centrum Kongresowe"
"Centrum Kongresowe","Konopnickiej"
"Konopnickiej","Jubilat"
"Jubilat","Cracovia"
"Cracovia","Czarnowiejska"
"Czarnowiejska","Kawiory"
"Kawiory","Biprostal"
"Biprostal","Mazowiecka"
"Mazowiecka","Łobzów PKP"
"Łobzów PKP","Stachiewicza"
"Stachiewicza","Makowskiego"
"Makowskiego","Krowoderskich Zuchów"
"Krowoderskich Zuchów","Krowodrza Górka - Czerwone Maki"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Zawiła Cmentarz"
"Zawiła Cmentarz","Las Borkowski"
"Las Borkowski","Zawiła"
"Zawiła","Komuny Paryskiej"
"Komuny Paryskiej","Kobierzyn"
"Kobierzyn","Babińskiego"
"Babińskiego","Skotniki"
"Skotniki","Baczyńskiego"
"Baczyńskiego","Wrony"
"Wrony","Skawina Podlipki"
"Skawina Podlipki","Skawina Rzepnik"
"Skawina Rzepnik","Skawina Cmentarz"
"Skawina Cmentarz","Skawina Popiełuszki"
"Skawina Popiełuszki","Skawina Ajka"
"Skawina Ajka","Skawina - Borek Fałęcki"

"Czyżyny Dworzec","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","Teatr Ludowy"
"Teatr Ludowy","Kocmyrzowska"
"Kocmyrzowska","Wańkowicza"
"Wańkowicza","Darwina"
"Darwina","Wzgórza Krzesławickie"
"Wzgórza Krzesławickie","Grębałów"
"Grębałów","Gustawa Morcinka"
"Gustawa Morcinka","Prusy"
"Prusy","Prusy Szkoła"
"Prusy Szkoła","Prusy WSR"
"Prusy WSR","Sulechów"
"Sulechów","Dojazdów PKS"
"Dojazdów PKS","Dojazdów Działki"
"Dojazdów Działki","Kocmyrzów Rondo"
"Kocmyrzów Rondo","Luborzyca Szkoła"
"Luborzyca Szkoła","Luborzyca"
"Luborzyca","Wola Luborzycka Działki"
"Wola Luborzycka Działki","Wola Luborzycka"
"Wola Luborzycka","Wola Luborzycka Las"
"Wola Luborzycka Las","Goszyce"
"Goszyce","Goszyce Remiza"
"Goszyce Remiza","Skrzeszowice"
"Skrzeszowice","Łososkowice Szkoła"
"Łososkowice Szkoła","Łososkowice - Czyżyny Dworzec"
"Łososkowice - Czyżyny Dworzec","Czyżyny Dworzec - Łososkowice"
"Czyżyny Dworzec - Łososkowice","Łososkowice - Czyżyny Dworzec"

"Czerwone Maki","Czerwone Maki"
"Czerwone Maki","Mochnaniec"
"Mochnaniec","Skotniki Szkoła"
"Skotniki Szkoła","Winnicka"
"Winnicka","Fort Winnica"
"Fort Winnica","Kostrze Szkoła"
"Kostrze Szkoła","Wały Wiślane"
"Wały Wiślane","Kostrze Kapliczka"
"Kostrze Kapliczka","Kolna"
"Kolna","Tor Kajakowy"
"Tor Kajakowy","Kolna"
"Kolna","Tyniecka Autostrada"
"Tyniecka Autostrada","Bolesława Śmiałego"
"Bolesława Śmiałego","Tyniec"
"Tyniec","Bogucianka"
"Bogucianka","Janasówka"
"Janasówka","Skawina Podgórki Skawińskie"
"Skawina Podgórki Skawińskie","Skawina Samborek Most"
"Skawina Samborek Most","Skawina Wojska Polskiego"
"Skawina Wojska Polskiego","Skawina Tyniecka"
"Skawina Tyniecka","Skawina Tyniecka Osiedle"
"Skawina Tyniecka Osiedle","Skawina Sąd"
"Skawina Sąd","Skawina Szkoła"
"Skawina Szkoła","Skawina Rynek"
"Skawina Rynek","Skawina Cmentarz"
"Skawina Cmentarz","Skawina Popiełuszki"
"Skawina Popiełuszki","Skawina 29 Listopada"
"Skawina 29 Listopada","Skawina Starostwo Powiatowe"
"Skawina Starostwo Powiatowe","Skawina Ogrody"
"Skawina Ogrody","Skawina Kopernika"
"Skawina Kopernika","Skawina Cmentarz Komunalny"
"Skawina Cmentarz Komunalny","Skawina Wyspiańskiego Szkoła"
"Skawina Wyspiańskiego Szkoła","Skawina Korabniki"
"Skawina Korabniki","Skawina Graniczna"
"Skawina Graniczna","Nałkowskiej"
"Nałkowskiej","Petrażyckiego"
"Petrażyckiego","Żyzna"
"Żyzna","Sidzina Olszyny"
"Sidzina Olszyny","Taklińskiego"
"Taklińskiego","Podgaje"
"Podgaje","Opatkowice"
"Opatkowice","Opatkowice Wiadukt"
"Opatkowice Wiadukt","Kąpielowa"
"Kąpielowa","Judyma"
"Judyma","Góra Borkowska"
"Góra Borkowska","Borek Fałęcki - Czerwone Maki"
"Borek Fałęcki - Czerwone Maki","Tyniec Kamieniołom - Czerwone Maki"

"Borek Fałęcki","Góra Borkowska"
"Góra Borkowska","Jugowicka"
"Jugowicka","Myślenicka"
"Myślenicka","Bujaka"
"Bujaka","Kurdwanów"
"Kurdwanów","Witosa"
"Witosa","Nowosądecka"
"Nowosądecka","Piaski Nowe"
"Piaski Nowe","Dauna"
"Dauna","Bieżanowska"
"Bieżanowska","Wlotowa"
"Wlotowa","Prokocim Szpital"
"Prokocim Szpital","Jerzmanowskiego"
"Jerzmanowskiego","Wielicka"
"Wielicka","Wielicka Granica Miasta"
"Wielicka Granica Miasta","Wieliczka CPN"
"Wieliczka CPN","Wieliczka Kościół"
"Wieliczka Kościół","Wieliczka Cmentarz"
"Wieliczka Cmentarz","Wieliczka Kampus - Borek Fałęcki"

"Krowodrza Górka","Zdrowa"
"Zdrowa","Pleszowska"
"Pleszowska","Białoprądnicka"
"Białoprądnicka","Piaszczysta"
"Piaszczysta","Glogera"
"Glogera","Glogera Granica Miasta"
"Glogera Granica Miasta","Zielonki Skrzyżowanie"
"Zielonki Skrzyżowanie","Zielonki UG"
"Zielonki UG","Zielonki Transformator"
"Zielonki Transformator","Zielonki Rozjazd"
"Zielonki Rozjazd","Trojanowice Krakowska"
"Trojanowice Krakowska","Trojanowice Pętla - Krowodrza Górka"

"Dworzec Główny Wschód","Politechnika"
"Politechnika","Nowy Kleparz"
"Nowy Kleparz","Grottgera"
"Grottgera","Plac Inwalidów"
"Plac Inwalidów","Czarnowiejska"
"Czarnowiejska","Kawiory"
"Kawiory","Miasteczko Studenckie AGH"
"Miasteczko Studenckie AGH","Przybyszewskiego"
"Przybyszewskiego","Armii Krajowej"
"Armii Krajowej","Zarzecze"
"Zarzecze","Balicka Wiadukt"
"Balicka Wiadukt","Bronowice Małe"
"Bronowice Małe","Giełda Balicka P+R"
"Giełda Balicka P+R","Lindego"
"Lindego","UR Balicka"
"UR Balicka","Młynówka SKA"
"Młynówka SKA","Godlewskiego"
"Godlewskiego","Zakliki"
"Zakliki","Mydlniki"
"Mydlniki","Mydlniki Stawy"
"Mydlniki Stawy","Mydlniki Granica Miasta"
"Mydlniki Granica Miasta","Szczyglice Podkamycze"
"Szczyglice Podkamycze","Szczyglice Autostrada"
"Szczyglice Autostrada","Szczyglice Dom Kultury"
"Szczyglice Dom Kultury","Szczyglice"
"Szczyglice","Balice Autostrada"
"Balice Autostrada","Balice Autostrada"
"Balice Autostrada","Balice I"
