"source","target"
"Starowiślna","Hala Targowa"
"Hala Targowa","Rondo Grzegórzeckie"
"Rondo Grzegórzeckie","Rondo Mogilskie"
"Rondo Mogilskie","Cystersów"
"Cystersów","Białucha"
"Białucha","Wieczysta - Łagiewniki"

"Nowy Bieżanów","Ćwiklińskiej"
"Ćwiklińskiej","Nowy Prokocim"
"Nowy Prokocim","Teligi"
"Teligi","Prokocim Szpital"
"Prokocim Szpital","Prokocim"
"Prokocim","Wlotowa"
"Wlotowa","Bieżanowska"
"Bieżanowska","Kabel"
"Kabel","Dworcowa"
"Dworcowa","Cmentarz Podgórski"
"Cmentarz Podgórski","Powstańców Wielkopolskich"
"Powstańców Wielkopolskich","Limanowskiego"
"Limanowskiego","Korona"
"Korona","Plac Wolnica"
"Plac Wolnica","Stradom"
"Stradom","Wawel"
"Wawel","Św.Gertrudy"
"Św.Gertrudy","Plac Wszystkich Świętych"
"Plac Wszystkich Świętych","Filharmonia"
"Filharmonia","Teatr Bagatela"
"Teatr Bagatela","Batorego"
"Batorego","Plac Inwalidów"
"Plac Inwalidów","Urzędnicza"
"Urzędnicza","Biprostal"
"Biprostal","Uniwersytet Pedagogiczny"
"Uniwersytet Pedagogiczny","Głowackiego"
"Głowackiego","Bronowice - Nowy Bieżanów"

"Mistrzejowice","Miśnieńska"
"Miśnieńska","Os.Złotego Wieku"
"Os.Złotego Wieku","Rondo Piastowskie"
"Rondo Piastowskie","Dunikowskiego"
"Dunikowskiego","Rondo Hipokratesa"
"Rondo Hipokratesa","DH Wanda"
"DH Wanda","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","Bieńczycka"
"Bieńczycka","Rondo Czyżyńskie"
"Rondo Czyżyńskie","Centralna"
"Centralna","Nowohucka"
"Nowohucka","M1 Al. Pokoju"
"M1 Al. Pokoju","TAURON Arena Kraków Al. Pokoju"
"TAURON Arena Kraków Al. Pokoju","Kraków Plaza"
"Kraków Plaza","Dąbie"
"Dąbie","Ofiar Dąbia"
"Ofiar Dąbia","Fabryczna"
"Fabryczna","Francesco Nullo"
"Francesco Nullo","Teatr Variété"
"Teatr Variété","Rondo Grzegórzeckie"
"Rondo Grzegórzeckie","Rondo Mogilskie"
"Rondo Mogilskie","Lubicz"
"Lubicz","Dworzec Główny"
"Dworzec Główny","Basztowa LOT"
"Basztowa LOT","Teatr Bagatela"
"Teatr Bagatela","Batorego"
"Batorego","Plac Inwalidów"
"Plac Inwalidów","Urzędnicza"
"Urzędnicza","Biprostal"
"Biprostal","Uniwersytet Pedagogiczny"
"Uniwersytet Pedagogiczny","Głowackiego"
"Głowackiego","Bronowice - Mistrzejowice"

"Mistrzejowice","Miśnieńska"
"Miśnieńska","Os.Złotego Wieku"
"Os.Złotego Wieku","Rondo Piastowskie"
"Rondo Piastowskie","Dunikowskiego"
"Dunikowskiego","Rondo Hipokratesa"
"Rondo Hipokratesa","DH Wanda"
"DH Wanda","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","Os.Zgody"
"Os.Zgody","Plac Centralny im. R.Reagana"
"Plac Centralny im. R.Reagana","Struga"
"Struga","Kombinat"
"Kombinat","Kopiec Wandy - Mistrzejowice"

"Borek Fałęcki","Borek Fałęcki I"
"Borek Fałęcki I","Solvay"
"Solvay","Sanktuarium Bożego Miłosierdzia"
"Sanktuarium Bożego Miłosierdzia","Łagiewniki"
"Łagiewniki","Rzemieślnicza"
"Rzemieślnicza","Rondo Matecznego"
"Rondo Matecznego","Smolki"
"Smolki","Korona"
"Korona","Plac Bohaterów Getta"
"Plac Bohaterów Getta","Św.Wawrzyńca"
"Św.Wawrzyńca","Miodowa"
"Miodowa","Starowiślna"
"Starowiślna","Hala Targowa"
"Hala Targowa","Rondo Grzegórzeckie"
"Rondo Grzegórzeckie","Rondo Mogilskie"
"Rondo Mogilskie","Cystersów"
"Cystersów","Białucha"
"Białucha","Wieczysta - Borek Fałęcki"

"Mały Płaszów","Rzebika"
"Rzebika","Lipska"
"Lipska","Gromadzka"
"Gromadzka","Kuklińskiego"
"Kuklińskiego","Klimeckiego"
"Klimeckiego","Zabłocie"
"Zabłocie","Rondo Grzegórzeckie"
"Rondo Grzegórzeckie","Rondo Mogilskie"
"Rondo Mogilskie","Lubicz"
"Lubicz","Dworzec Główny"
"Dworzec Główny","Poczta Główna"
"Poczta Główna","Plac Wszystkich Świętych"
"Plac Wszystkich Świętych","Filharmonia"
"Filharmonia","Uniwersytet Jagielloński"
"Uniwersytet Jagielloński","Cracovia"
"Cracovia","Oleandry"
"Oleandry","Park Jordana"
"Park Jordana","Reymana"
"Reymana","Cichy Kącik - Mały Płaszów"

"Kopiec Wandy","Kombinat"
"Kombinat","Struga"
"Struga","Plac Centralny im. R.Reagana"
"Plac Centralny im. R.Reagana","Os.Zgody"
"Os.Zgody","Rondo Kocmyrzowskie im. Ks. Gorzelanego"
"Rondo Kocmyrzowskie im. Ks. Gorzelanego","DH Wanda"
"DH Wanda","Rondo Hipokratesa"
"Rondo Hipokratesa","Dunikowskiego"
