"id","label"
"719","Niepołomice Moczydło"
"720","Niepołomice Dworzec"
"721","Niepołomice Rynek"
"722","Niepołomice Batorego"
"723","Niepołomice Batorego II"
"724","Niepołomice Jazy"
"725","Niepołomice Jazy II"
"726","Wola Batorska Ruskie"
"727","Wola Batorska Żwirownia"
"728","Wola Batorska Kościół"
"729","Wola Batorska Cmentarz"
"730","Wola Batorska Borek"
"731","Wola Batorska Mikoniowiec"
"732","Wola Batorska Zamoglice"
"733","Zabierzów Bocheński Centrum"
"734","Wola Zabierzowska"
"735","Chobot"
"736","Kocmyrzów Krzyżówka"
"737","Kocmyrzów Biblioteka"
"738","Kocmyrzów Sodfiny"
"739","Głęboka Kolonia"
"740","Głęboka"
"741","Karniów"
"742","Bunscha"
"743","Skawina Koncentraty"
"744","Rzozów Baseny"
"745","Rzozów I"
"746","Rzozów Szkoła"
"747","Gołuchowice"
"748","Gołuchowice Jurczyce"
"749","Gołuchowice Sklep"
"750","Polanka Hallera Dwór"
"751","Grabie Polanka"
"752","Krzęcin Sklep"
"753","Krzęcin Cmentarz"
"754","Krzęcin Kościół"
"755","Krzęcin Kapliczka"
"756","Krzęcin Częsna"
"757","Rajsko"
"758","Geologów"
"759","Malinowskiego"
"760","Soboniowice"
"761","Pod Lipą"
"762","Soboniowice Granica Miasta"
"763","Wrząsowice Wrzosowa"
"764","Wrząsowice Centrum"
"765","Wrząsowice Pileckiego"
"766","Wrząsowice Kowaleca"
"767","Wrząsowice"
"768","Wrząsowice Zielona"
"769","Świątniki Krakowska"
"770","Świątniki Urząd Miasta i Gminy"
"771","Świątniki Centrum"
"772","Świątniki Bielowicza Szkoła"
"773","Świątniki Skrzyżowanie"
"774","Świątniki Górne Piasna Górka"
"775","Rzeszotary Zalesie"
"776","Rzeszotary Panciawa"
"777","Belwederczyków"
"778","Trzecia Góra"
"779","Węgrzce Starostwo Powiatowe"
"780","Węgrzce"
"781","Węgrzce Centrum"
"782","Węgrzce Błonie"
"783","Balice OSP"
"784","Balice Leśna"
"785","Balice Grzybów"
"786","Burów"
"787","Burów Centrum"
"788","Kleszczów Pod Lipką"
"789","Tonie Gliniki"
"790","Modlnica Trojadyn Szydło"
"791","Giebułtów Trojadyn Trafo"
"792","Giebułtów Trojadyn"
"793","Trojadyn Skrzyżowanie"
"794","Łutnia"
"795","Brzegi I"
"796","Brzegi III"
"797","Grabie Szczurów"
"798","Grabie Dom Kultury"
"799","Grabie Kościół"
"800","Niepołomice Podgrabie"
"801","Niepołomice Pasternik"
"802","Niepołomice Kątek"
"803","Niepołomice Poręby"
"804","Niepołomice Diesla"
"805","Niepołomice Wodna"
"806","Niepołomice Płaszowska I"
"807","Niepołomice Kościuszki"
"808","Wysiołek Luborzycki Skrzyżowanie"
"809","Wysiołek Luborzycki"
"810","Wysiołek Luborzycki Radwany"
"811","Marszowice Góry"
"812","Marszowice Centrum"
"813","Marszowice"
"814","Polanowice Kolonia"
"815","Polanowice"
"816","Niedźwiedź PKP"
"817","Niedźwiedź Felix"
"818","Ratajów Skrzyżowanie"
"819","Słomniki Zagłoby"
"820","Słomniki Rynek"
"821","Słomniki Kościuszki"
"822","Skawina Zachodnia"
"823","Skawina Elektrownia"
"824","Skawina Piłsudskiego"
"825","Skawina Podbory"
"826","Borek Szlachecki I"
"827","Borek Szlachecki II"
"828","Zelczyna I"
"829","Zelczyna Sklep"
"830","Zelczyna Szkoła"
"831","Wielkie Drogi"
"832","Wielkie Drogi PKP"
"833","Wielkie Drogi Ośrodek Zdrowia"
"834","Wielkie Drogi Szkoła"
"835","Wielkie Drogi Trzebol"
"836","Jaśkowice PKP"
"837","Jaśkowice"
"838","Brzeźnica Kuźnia"
"839","Brzeźnica Pasieka"
"840","Krzyszkowice Modrzewiowa"
"841","Krzyszkowice Krzyszkowicka"
"842","Krzyszkowice Os.Szymanowskiego"
"843","Wieliczka Solne Miasto"
"844","Wieliczka Sąd"
"845","Wieliczka Klaśnieńska"
"846","Wieliczka Kopalnia Soli"
"847","Wieliczka Goliana"
"848","Wrząsowice Nad Wilgą"
"849","Wrząsowice Pod Skałą"
"850","Ochojno Dąbrówki"
"851","Ochojno Kamieniec"
"852","Ochojno Skrzyżowanie"
"853","Rzeszotary Górne"
"854","Rzeszotary Polanki"
"855","Rzeszotary"
"856","Rzeszotary Tempo"
"857","Rzeszotary Trafo"
"858","Rzeszotary Szkoła"
"859","Rzeszotary Pod Dębiną"
"860","Szczyglice Most"
"861","Morawica Mostek"
"862","Chrosna Kapliczka"
"863","Chrosna Sklep"
"864","Chrosna Studnia"
"865","Garlica Murowana Podskale"
"866","Garlica Murowana Kasztany"
"867","Garlica Murowana"
"868","Garlica Duchowna"
"869","Garlica Duchowna Droga do Garliczki"
"870","Wola Zachariaszowska"
"871","Wola Zachariaszowska Zakońce"
"872","Kryspinów Sanka"
