"line_number","stop_name"
"101","Szwedzka"
"101","Kapelanka"
"101","Zielińskiego"
"101","Malczewskiego"
"101","Aleja Waszyngtona"
"102","Krowodrza Górka"
"102","Krowodrza Urzędy Skarbowe"
"102","Wybickiego"
"102","Łobzów PKP"
"102","Mazowiecka"
"102","Biprostal"
"102","Uniwersytet Pedagogiczny"
"102","Miasteczko Studenckie AGH"
"102","Cichy Kącik"
"102","Słonecznikowa"
"102","Tondosa"
"102","Strzelnica"
"102","Sielanka"
"102","Park Decjusza"
"102","Kasztanowa"
"102","Kopalina"
"102","Zielony Dół"
"102","Chełm"
"102","Chełmska"
"102","Rzepichy"
"102","Kosmowskiej"
"103","Aleja Przyjaźni"
"103","Os.Kolorowe"
"103","Rondo Czyżyńskie"
"103","Centralna"
"103","Sołtysowska"
"103","Sołtysowska Zakłady"
"103","Sołtysowska Osiedle"
"103","Sikorki"
"103","Na Załęczu"
"103","Habina"
"103","Odmętowa"
"103","Lasek Łęgowski"
"105","Prądnik Czerwony"
"105","Powstańców Garaże"
"105","Powstańców"
"105","Majora"
"105","Aleja 29 Listopada"
"105","Opolska Estakada"
"105","Uniwersytet Rolniczy"
"105","Biskupa Prandoty"
"105","Cmentarz Rakowicki Zachód"
"105","Politechnika"
"106","Łagiewniki"
"106","Łagiewniki"
"106","Borsucza"
"106","Lipińskiego"
"106","Grota-Roweckiego"
"106","Rostworowskiego"
"106","Zachodnia"
"106","Torfowa"
"106","Lubostroń"
"106","Skośna"
"106","Kobierzyn"
"106","Babińskiego"
"106","Skotniki"
"106","Brücknera"
"107","Dworzec Płaszów"
"107","Dworcowa"
"107","Kabel"
"107","Sułkowskiego"
"107","Malborska Szkoła"
"107","Wola Duchacka"
"107","Karpińskiego"
"107","Tuchowska"
"107","Bochenka"
"107","Łużycka"
"107","Piaski Wielkie"
"107","Hala Sportowa Piaski Wielkie"
"107","Niebieska Autostrada"
"107","Kosocice"
"107","Szczegów"
"107","Żelazowskiego"
"107","Barycz"
"107","Krzemieniecka"
"107","Drużbackiej"
